LARA ID_LARA
LARA_EXTRA_ANIMS ID_LARA_EXTRA_ANIMS
PISTOLS_ANIM ID_PISTOLS_ANIM
UZI_ANIM ID_UZI_ANIM
SHOTGUN_ANIM ID_SHOTGUN_ANIM
REVOLVER_ANIM ID_REVOLVER_ANIM
CROSSBOW_ANIM ID_CROSSBOW_ANIM
HK_ANIM ID_HK_ANIM
GRENADE_ANIM ID_GRENADE_ANIM
ROCKET_ANIM ID_ROCKET_ANIM
HARPOON_ANIM ID_HARPOON_ANIM
LARA_FLARE_ANIM ID_LARA_FLARE_ANIM
LARA_SKIN ID_LARA_SKIN
LARA_SKIN_JOINTS ID_LARA_SKIN_JOINTS
LARA_SCREAM ID_LARA_SCREAM
LARA_CROSSBOW_LASER ID_LARA_CROSSBOW_LASER
LARA_REVOLVER_LASER ID_LARA_REVOLVER_LASER
LARA_HOLSTERS ID_LARA_HOLSTERS
LARA_HOLSTERS_PISTOLS ID_LARA_HOLSTERS_PISTOLS
LARA_HOLSTERS_UZIS ID_LARA_HOLSTERS_UZIS
LARA_HOLSTERS_REVOLVER ID_LARA_HOLSTERS_REVOLVER
LARA_SPEECH_HEAD1 ID_LARA_SPEECH_HEAD1
LARA_SPEECH_HEAD2 ID_LARA_SPEECH_HEAD2
LARA_SPEECH_HEAD3 ID_LARA_SPEECH_HEAD3
LARA_SPEECH_HEAD4 ID_LARA_SPEECH_HEAD4
ACTOR1_SPEECH_HEAD1 ID_ACTOR1_SPEECH_HEAD1
ACTOR1_SPEECH_HEAD2 ID_ACTOR1_SPEECH_HEAD2
ACTOR2_SPEECH_HEAD1 ID_ACTOR2_SPEECH_HEAD1
ACTOR2_SPEECH_HEAD2 ID_ACTOR2_SPEECH_HEAD2
LARA_EXTRA_MESH1 ID_LARA_EXTRA_MESH1
LARA_EXTRA_MESH2 ID_LARA_EXTRA_MESH2
LARA_EXTRA_MESH3 ID_LARA_EXTRA_MESH3
LARA_WATER_MESH ID_LARA_WATER_MESH
LARA_PETROL_MESH ID_LARA_PETROL_MESH
LARA_DIRT_MESH ID_LARA_DIRT_MESH
LARA_CROWBAR_ANIM ID_LARA_CROWBAR_ANIM
LARA_TORCH_ANIM ID_LARA_TORCH_ANIM
LARA_HAIR ID_LARA_HAIR
SNOWMOBILE_LARA_ANIMS ID_SNOWMOBILE_LARA_ANIMS
SNOWMOBILE ID_SNOWMOBILE
QUAD_LARA_ANIMS ID_QUAD_LARA_ANIMS
QUAD ID_QUAD
SPEEDBOAT_LARA_ANIMS ID_SPEEDBOAT_LARA_ANIMS
SPEEDBOAT ID_SPEEDBOAT
KAYAK_LARA_ANIMS ID_KAYAK_LARA_ANIMS
KAYAK ID_KAYAK
UPV_LARA_ANIMS ID_UPV_LARA_ANIMS
UPV ID_UPV
MINECART_LARA_ANIMS ID_MINECART_LARA_ANIMS
MINECART ID_MINECART
JEEP_LARA_ANIMS ID_JEEP_LARA_ANIMS
JEEP ID_JEEP
MOTORBIKE_LARA_ANIMS ID_MOTORBIKE_LARA_ANIMS
MOTORBIKE ID_MOTORBIKE
RUBBER_BOAT_LARA_ANIMS ID_RUBBER_BOAT_LARA_ANIMS
RUBBER_BOAT ID_RUBBER_BOAT
BIGGUN_ANIMS ID_BIGGUN_ANIMS
BIGGUN ID_BIGGUN
VEHICLE_SMASHABLE_FLOOR ID_VEHICLE_SMASHABLE_FLOOR
VEHICLE_SMASHABLE_WALL ID_VEHICLE_SMASHABLE_WALL
WOLF ID_WOLF
BEAR ID_BEAR
APE ID_APE
SMALL_SPIDER ID_SMALL_SPIDER
BIG_SPIDER ID_BIG_SPIDER
CROW ID_CROW
TIGER ID_TIGER
EAGLE ID_EAGLE
RAPTOR ID_RAPTOR
TYRANNOSAUR ID_TYRANNOSAUR
COBRA ID_COBRA
MONKEY ID_MONKEY
WHALE ID_WHALE
SMALL_DINOSAUR ID_SMALL_DINOSAUR
FISH_EMITTER ID_FISH_EMITTER
RAT ID_RAT
BIG_RAT ID_BIG_RAT
CROCODILE ID_CROCODILE
BAT ID_BAT
SPHINX ID_SPHINX
WILD_BOAR ID_WILD_BOAR
HARPY ID_HARPY
BIG_SCORPION ID_BIG_SCORPION
SMALL_SCORPION ID_SMALL_SCORPION
BABOON_NORMAL ID_BABOON_NORMAL
BABOON_INV ID_BABOON_INV
BABOON_SILENT ID_BABOON_SILENT
LITTLE_BEETLE ID_LITTLE_BEETLE
LOCUSTS ID_LOCUSTS
SHARK ID_SHARK
HUSKIE ID_HUSKIE
DOG ID_DOG
BATS_EMITTER ID_BATS_EMITTER
RATS_EMITTER ID_RATS_EMITTER
SPIDERS_EMITTER ID_SPIDERS_EMITTER
LION ID_LION
DOBERMAN ID_DOBERMAN
HAMMERHEAD ID_HAMMERHEAD
CROCODILE_GOD ID_CROCODILE_GOD
LOCUSTS_EMITTER ID_LOCUSTS_EMITTER
SCUBA_HARPOON ID_SCUBA_HARPOON
SCUBA_DIVER ID_SCUBA_DIVER
GOON_SILENCER1 ID_GOON_SILENCER1
GOON_SILENCER2 ID_GOON_SILENCER2
GOON_SILENCER3 ID_GOON_SILENCER3
BARRACUDA ID_BARRACUDA
WORKER_SHOTGUN ID_WORKER_SHOTGUN
WORKER_MACHINEGUN ID_WORKER_MACHINEGUN
WORKER_DUAL_REVOLVER ID_WORKER_DUAL_REVOLVER
WORKER_FLAMETHROWER ID_WORKER_FLAMETHROWER
MONK1 ID_MONK1
MONK2 ID_MONK2
KNIFETHROWER ID_KNIFETHROWER
KNIFETHROWER_KNIFE ID_KNIFETHROWER_KNIFE
MERCENARY_UZI ID_MERCENARY_UZI
MERCENARY_AUTOPISTOLS1 ID_MERCENARY_AUTOPISTOLS1
MERCENARY_AUTOPISTOLS2 ID_MERCENARY_AUTOPISTOLS2
SNOWMOBILE_GUN ID_SNOWMOBILE_GUN
SNOWMOBILE_DRIVER ID_SNOWMOBILE_DRIVER
FLAMETHROWER_BADDY ID_FLAMETHROWER_BADDY
TRIBESMAN_WITH_AX ID_TRIBESMAN_WITH_AX
TRIBESMAN_WITH_DARTS ID_TRIBESMAN_WITH_DARTS
MP_WITH_STICK ID_MP_WITH_STICK
MP_WITH_GUN ID_MP_WITH_GUN
BADDY1 ID_BADDY1
BADDY2 ID_BADDY2
SAS_CAIRO ID_SAS_CAIRO
SAS_DYING ID_SAS_DYING
SAS_CAPTAIN ID_SAS_CAPTAIN
SAS_DRAG_BLOKE ID_SAS_DRAG_BLOKE
GUIDE ID_GUIDE
